tempo,angulo
0,"-2,166"
"0,0167","-2,145"
"0,0334","-2,114"
"0,0501","-2,089"
"0,0667","-2,045"
"0,0834","-1,987"
"0,1","-1,941"
"0,117","-1,877"
"0,133","-1,787"
"0,15","-1,715"
"0,167","-1,654"
"0,184","-1,572"
"0,2","-1,489"
"0,217","-1,424"
"0,234","-1,352"
"0,25","-1,29"
"0,267","-1,22"
"0,284","-1,166"
"0,3","-1,132"
"0,317","-1,101"
"0,334","-1,067"
"0,35","-1,049"
"0,367","-1,031"
"0,384","-1,046"
"0,4","-1,058"
"0,417","-1,087"
"0,434","-1,112"
"0,45","-1,148"
"0,467","-1,191"
"0,484","-1,25"
"0,501","-1,3"
"0,517","-1,38"
"0,534","-1,433"
"0,551","-1,5"
"0,567","-1,571"
"0,584","-1,643"
"0,601","-1,711"
"0,617","-1,772"
"0,634","-1,833"
"0,651","-1,892"
"0,667","-1,924"
"0,684","-1,965"
"0,701","-2,005"
"0,717","-2,034"
"0,734","-2,055"
"0,751","-2,06"
"0,767","-2,066"
"0,784","-2,046"
"0,801","-2,025"
"0,818","-2,017"
"0,834","-1,98"
"0,851","-1,938"
"0,868","-1,895"
"0,884","-1,862"
"0,901","-1,813"
"0,918","-1,751"
"0,934","-1,689"
"0,951","-1,633"
"0,968","-1,582"
"0,984","-1,504"
"1,001","-1,443"
"1,018","-1,385"
"1,034","-1,347"
"1,051","-1,298"
"1,068","-1,274"
"1,084","-1,223"
"1,101","-1,186"
"1,118","-1,171"
"1,135","-1,144"
"1,151","-1,143"
"1,168","-1,159"
"1,185","-1,177"
"1,201","-1,191"
"1,218","-1,218"
"1,235","-1,237"
"1,251","-1,277"
"1,268","-1,325"
"1,285","-1,382"
"1,301","-1,424"
"1,318","-1,469"
"1,335","-1,516"
"1,351","-1,581"
"1,368","-1,638"
"1,385","-1,685"
"1,401","-1,742"
"1,418","-1,772"
"1,435","-1,834"
"1,452","-1,885"
"1,468","-1,914"
"1,485","-1,946"
"1,502","-1,959"
"1,518","-1,97"
"1,535","-1,982"
"1,552","-1,982"
"1,568","-1,966"
"1,585","-1,935"
"1,602","-1,912"
"1,618","-1,893"
"1,635","-1,857"
"1,652","-1,815"
"1,668","-1,763"
"1,685","-1,742"
"1,702","-1,679"
"1,718","-1,638"
"1,735","-1,607"
"1,752","-1,526"
"1,768","-1,503"
"1,785","-1,452"
"1,802","-1,404"
"1,819","-1,364"
"1,835","-1,332"
"1,852","-1,298"
"1,869","-1,256"
"1,885","-1,238"
"1,902","-1,229"
"1,919","-1,231"
"1,935","-1,234"
"1,952","-1,243"
"1,969","-1,248"
"1,985","-1,266"
"2,002","-1,277"
"2,019","-1,3"
"2,035","-1,309"
"2,052","-1,343"
"2,069","-1,427"
"2,085","-1,464"
"2,102","-1,495"
"2,119","-1,561"
"2,136","-1,577"
"2,152","-1,628"
"2,169","-1,684"
"2,186","-1,721"
"2,202","-1,762"
"2,219","-1,812"
"2,236","-1,834"
"2,252","-1,847"
"2,269","-1,888"
"2,286","-1,908"
"2,302","-1,912"
"2,319","-1,896"
"2,336","-1,896"
"2,352","-1,875"
"2,369","-1,86"
"2,386","-1,85"
"2,402","-1,838"
"2,419","-1,813"
"2,436","-1,768"
"2,453","-1,731"
"2,469","-1,689"
"2,486","-1,633"
"2,503","-1,608"
"2,519","-1,587"
"2,536","-1,541"
"2,553","-1,506"
"2,569","-1,464"
"2,586","-1,414"
"2,603","-1,404"
"2,619","-1,366"
"2,636","-1,316"
"2,653","-1,308"
"2,669","-1,298"
"2,686","-1,279"
"2,703","-1,271"
"2,719","-1,275"
"2,736","-1,293"
"2,753","-1,311"
"2,77","-1,33"
"2,786","-1,346"
"2,803","-1,366"
"2,82","-1,401"
"2,836","-1,414"
"2,853","-1,445"
"2,87","-1,515"
"2,886","-1,54"
"2,903","-1,561"
"2,92","-1,613"
"2,936","-1,638"
"2,953","-1,675"
"2,97","-1,731"
"2,986","-1,768"
"3,003","-1,79"
"3,02","-1,805"
"3,036","-1,837"
"3,053","-1,857"
"3,07","-1,862"
"3,087","-1,879"
