distância,frequência angular,incerteza,período,incerteza - período,verificar se bate,incerteza,period na mao (intervalo de tempo de vale até vale),Período médio,Testes
"0,01","4,57","0,05","1,374876","0,01504241176","1,3381","0,1208",,,
"0,02","6,58","0,05","0,954891","0,007256013557","0,9357","0,0675","0,951","0,94",1
"0,03","8,60","0,08","0,730603","0,006796306444","0,8558","0,0279","0,835","0,87",2
"0,04","9,19","0,06","0,683698","0,004463752392","0,7667","0,0147","0,801","0,77",3
"0,05","8,52","0,03","0,737463","0,00259670093","0,7526","0,0103","0,783","0,76",4
"0,06","8,41","0,02","0,747109","0,001776715423","0,7484","0,0236","0,713","0,74",5
"0,07","8,31","0,02","0,756099","0,00181973361","0,7441","0,0087","0,734","0,75",6
"0,08","8,99","0,06","0,698908","0,004664571294","0,7441","0,0217","0,717","0,76",7
"0,09","8,51","0,03","0,738330","0,002602807221","0,7654","0,0202","0,751","0,77",8
"0,10","8,05","0,02","0,780520","0,00193917991","0,7896","0,0388","0,757","0,83",9
