Testes,m1,m2,tempo na mao (s),média de tempo,altura (m),aceleracao,aceleracao media
1,1170,870,"0,98","0,9633333333","0,6","1,249479384","1,299526578"
1,1170,870,"0,91",,"0,6","1,44910035",
1,1170,870,1,,"0,6","1,2",
2,1160,880,"0,97","0,99","0,6","1,275374641","1,244830328"
2,1160,880,"1,09",,"0,6","1,010015992",
2,1160,880,"0,91",,"0,6","1,44910035",
3,1150,890,"1,04","1,046666667","0,6","1,109467456","1,100400998"
3,1150,890,1,,"0,6","1,2",
3,1150,890,"1,1",,"0,6","0,9917355372",
4,1140,900,"1,09","1,153333333","0,6","1,010015992","0,9064116968"
4,1140,900,"1,18",,"0,6","0,8618213157",
4,1140,900,"1,19",,"0,6","0,8473977826",
5,1130,910,"1,16","1,18","0,6","0,8917954816","0,8632752821"
5,1130,910,"1,22",,"0,6","0,8062348831",
5,1130,910,"1,16",,"0,6","0,8917954816",
6,1120,920,"1,35","1,32","0,6","0,658436214","0,6902459972"
6,1120,920,"1,27",,"0,6","0,744001488",
6,1120,920,"1,34",,"0,6","0,6683002896",
7,1110,930,"1,47","1,44","0,6","0,5553241705","0,5792064143"
7,1110,930,"1,44",,"0,6","0,5787037037",
7,1110,930,"1,41",,"0,6","0,6035913686",
8,1100,940,"1,4","1,523333333","0,6","0,612244898","0,5226100212"
8,1100,940,"1,6",,"0,6","0,46875",
8,1100,940,"1,57",,"0,6","0,4868351657",
9,1090,950,"1,52","1,626666667","0,6","0,5193905817","0,456607036"
9,1090,950,"1,69",,"0,6","0,420153356",
9,1090,950,"1,67",,"0,6","0,4302771702",
10,1080,960,"1,72","1,7","0,6","0,405624662","0,415310458"
10,1080,960,"1,69",,"0,6","0,420153356",
10,1080,960,"1,69",,"0,6","0,420153356",
